#         01th Cycle                       02th Cycle                       03th Cycle                       04th Cycle                       05th Cycle                       06th Cycle                       07th Cycle                       08th Cycle                       09th Cycle                       10th Cycle                       11th Cycle                       12th Cycle                       13th Cycle                       14th Cycle                       15th Cycle                       16th Cycle                       17th Cycle                       18th Cycle                       19th Cycle        
# Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN
  1821      01          2.34       1826      08          8.22       1836      05          7.44       1846      01          7.46       1858      06         11.78       1869      11         14.17       1881      06         10.22       1892      09         11.67       1904      07          7.28       1916      01          8.46       1926      02          8.91       1936      03          9.19       1946      08         10.85       1956      10          9.83       1967      04          7.14       1978      09          8.11       1989      04         11.67       1998      10          6.68       2011      06          5.97
  1821      02          2.33       1826      09          8.47       1836      06          7.34       1846      02          7.67       1858      07         12.16       1869      12         14.44       1881      07         10.35       1892      10         11.59       1904      08          7.57       1916      02          8.27       1926      03          9.00       1936      04          9.41       1946      09         10.74       1956      11          9.97       1967      05          7.26       1978      10          8.22       1989      05         11.99       1998      11          6.85       2011      07          6.32
  1821      03          2.28       1826      10          8.69       1836      07          7.25       1846      03          8.02       1858      08         12.63       1870      01         14.76       1881      08         10.46       1892      11         11.45       1904      09          7.84       1916      03          8.13       1926      04          9.00       1936      05          9.64       1946      10         10.67       1956      12         10.12       1967      06          7.43       1978      11          8.30       1989      06         12.24       1998      12          7.20       2011      08          6.45
  1821      04          2.41       1826      11          8.95       1836      08          7.27       1846      04          8.28       1858      09         13.03       1870      02         15.21       1881      09         10.61       1892      12         11.28       1904      10          7.89       1916      04          8.08       1926      05          9.02       1936      06          9.92       1946      11         10.70       1957      01         10.31       1967      07          7.54       1978      12          8.47       1989      07         12.19       1999      01          7.51       2011      09          6.45
  1821      05          2.58       1826      12          9.11       1836      09          7.40       1846      05          8.23       1858      10         13.41       1870      03         15.57       1881      10         10.85       1893      01         11.13       1904      11          7.90       1916      05          8.13       1926      06          8.98       1936      07         10.24       1946      12         10.75       1957      02         10.37       1967      08          7.58       1979      01          8.70       1989      08         12.04       1999      02          7.84       2011      10          6.50
  1821      06          2.66       1827      01          9.11       1836      10          7.27       1846      06          8.14       1858      11         13.87       1870      04         16.00       1881      11         11.07       1893      02         10.98       1904      12          7.95       1916      06          8.26       1926      07          8.96       1936      08         10.53       1947      01         10.66       1957      03         10.43       1967      09          7.58       1979      02          8.99       1989      09         11.97       1999      03          7.98       2011      11          6.62
  1821      07          2.71       1827      02          9.15       1836      11          6.90       1846      07          8.01       1858      12         14.29       1870      05         16.46       1881      12         11.08       1893      03         10.86       1905      01          8.03       1916      07          8.41       1926      08          9.05       1936      09         10.67       1947      02         10.52       1957      04         10.62       1967      10          7.57       1979      03          9.20       1989      10         12.00       1999      04          8.05       2011      12          6.76
  1821      08          2.74       1827      03          9.44       1836      12          6.84       1846      08          7.71       1859      01         14.65       1870      06         16.71       1882      01         10.88       1893      04         10.74       1905      02          8.08       1916      08          8.55       1926      09          9.13       1936      10         10.75       1947      03         10.44       1957      05         10.75       1967      11          7.68       1979      04          9.35       1989      11         11.98       1999      05          8.42       2012      01          6.92
  1821      09          2.81       1827      04          9.65       1837      01          6.86       1846      09          7.49       1859      02         15.03       1870      07         16.81       1882      02         10.69       1893      05         10.60       1905      03          8.18       1916      09          8.68       1926      10          9.32       1936      11         10.99       1947      04         10.34       1957      06         10.81       1967      12          7.84       1979      05          9.55       1989      12         11.70       1999      06          8.64       2012      02          7.04
  1821      10          2.99       1827      05          9.66       1837      02          6.66       1846      10          7.42       1859      03         15.35       1870      08         16.87       1882      03         10.65       1893      06         10.45       1905      04          8.34       1916      10          8.75       1926      11          9.53       1936      12         11.29       1947      05         10.12       1957      07         10.91       1968      01          7.93       1979      06          9.74       1990      01         11.42       1999      07          8.73       2012      03          7.00
